Diet,Embryo_ID,Phenotype,Genotype,Somites,Position,Day
1% Met,599.13,N,+/-,20,L3,Day 1
1% Met,666.2,N,+/-,21,R2,Day 1
1% Met,670.3,N,+/-,20,R3,Day 1
1% Met,672.5,N,+/-,21,R5,Day 1
1% Met,751.13,N,+/-,20,L3,Day 1
1% Met,751.3,N,+/-,20,R3,Day 1
1% Met,751.4,N,+/-,21,R4,Day 1
1% Met,670.13,N,+/+,21,L3,Day 1
1% Met,672.11,N,+/+,21,L1,Day 1
1% Met,686.1,N,+/+,20,R1,Day 1
1% Met,751.11,N,+/+,21,L1,Day 1
1% Met,754.11,N,+/+,19,L1,Day 1
1% Met,847.2,N,+/+,21,R2,Day 1
1% Met,847.3,N,+/+,20,R3,Day 1
10ppm FA,546.2,N,+/-,21,R2,Day 1
10ppm FA,617.4,N,+/-,21,R4,Day 1
10ppm FA,618.1,N,+/-,21,R1,Day 1
10ppm FA,648.3,N,+/-,20,R3,Day 1
10ppm FA,669.11,N,+/-,21,L1,Day 1
10ppm FA,713.2,N,+/-,20,R2,Day 1
10ppm FA,773.8,N,+/-,20,R8,Day 1
10ppm FA,574.1,N,+/+,20,R1,Day 1
10ppm FA,592.13,N,+/+,20,L3,Day 1
10ppm FA,593.1,N,+/+,20,R1,Day 1
10ppm FA,614.4,N,+/+,20,R4,Day 1
10ppm FA,675.16,N,+/+,19,L6,Day 1
10ppm FA,675.19,N,+/+,19,L9,Day 1
10ppm FA,773.12,N,+/+,19,L2,Day 1
2ppm FA,552.5,N,+/-,21,R5,Day 1
2ppm FA,552.6,N,+/-,21,R6,Day 1
2ppm FA,611.14,N,+/-,21,L4,Day 1
2ppm FA,621.11,N,+/-,20,L1,Day 1
2ppm FA,691.1,N,+/-,19,R1,Day 1
2ppm FA,691.11,N,+/-,19,L1,Day 1
2ppm FA,843.17,N,+/-,21,L7,Day 1
2ppm FA,551.12,N,+/+,19,L2,Day 1
2ppm FA,573.2,N,+/+,21,R2,Day 1
2ppm FA,608.3,N,+/+,20,R3,Day 1
2ppm FA,796.11,N,+/+,19,L1,Day 1
2ppm FA,796.5,N,+/+,21,R5,Day 1
2ppm FA,843.14,N,+/+,21,L4,Day 1
2ppm FA,843.15,N,+/+,21,L5,Day 1
1% Met,599.2,N,+/-,21,R2,Day 2
1% Met,670.4,N,+/-,20,R4,Day 2
1% Met,672.1,N,+/-,21,R1,Day 2
Diet,Embryo_ID,Phenotype,Genotype,Somites,Position,Day
1% Met,686.2,N,+/-,19,R2,Day 2
1% Met,752.1,N,+/-,21,R1,Day 2
1% Met,752.11,N,+/-,21,L1,Day 2
1% Met,753.3,N,+/-,19,R3,Day 2
1% Met,847.14,N,+/-,19,L4,Day 2
1% Met,670.12,N,+/+,20,L2,Day 2
1% Met,670.15,N,+/+,21,L5,Day 2
1% Met,670.16,N,+/+,19,L6,Day 2
1% Met,670.2,N,+/+,21,R2,Day 2
1% Met,730.1,N,+/+,19,R1,Day 2
1% Met,730.13,N,+/+,21,L3,Day 2
1% Met,754.13,N,+/+,20,L3,Day 2
1% Met,847.11,N,+/+,19,L1,Day 2
10ppm FA,561.13,N,+/-,20,L3,Day 2
10ppm FA,592.4,N,+/-,21,R4,Day 2
10ppm FA,617.13,N,+/-,20,L3,Day 2
10ppm FA,617.14,N,+/-,21,L4,Day 2
10ppm FA,669.12,N,+/-,19,L2,Day 2
10ppm FA,669.14,N,+/-,20,L4,Day 2
10ppm FA,675.2,N,+/-,20,R2,Day 2
10ppm FA,772.1,N,+/-,19,R1,Day 2
10ppm FA,593.3,N,+/+,21,R3,Day 2
10ppm FA,643.11,N,+/+,20,L1,Day 2
10ppm FA,661.11,N,+/+,19,L1,Day 2
10ppm FA,661.2,N,+/+,21,R2,Day 2
10ppm FA,675.11,N,+/+,21,L1,Day 2
10ppm FA,675.13,N,+/+,20,L3,Day 2
10ppm FA,675.17,N,+/+,21,L7,Day 2
10ppm FA,772.12,N,+/+,19,L2,Day 2
2ppm FA,552.11,N,+/-,20,L1,Day 2
2ppm FA,552.2,N,+/-,21,R2,Day 2
2ppm FA,552.4,N,+/-,21,R4,Day 2
2ppm FA,573.4,N,+/-,21,R4,Day 2
2ppm FA,610.2,N,+/-,21,R2,Day 2
2ppm FA,632.1,N,+/-,19,R1,Day 2
2ppm FA,843.12,N,+/-,19,L2,Day 2
2ppm FA,843.2,N,+/-,21,R2,Day 2
2ppm FA,551.3,N,+/+,20,R3,Day 2
2ppm FA,610.12,N,+/+,19,L2,Day 2
2ppm FA,611.15,N,+/+,21,L5,Day 2
2ppm FA,621.1,N,+/+,19,R1,Day 2
2ppm FA,621.2,N,+/+,20,R2,Day 2
2ppm FA,796.1,N,+/+,19,R1,Day 2
2ppm FA,796.12,N,+/+,21,L2,Day 2
2ppm FA,796.4,N,+/+,21,R4,Day 2
